"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","last_metadata_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","dataowner_department","department_department","refreshfrequency_frequency","transparencyapp_application","dataowner_owner"
"6d4q-w9dv","Technology Matching Funds","All awarded Technology Matching Fund projects from 1998 through the most recent funding year","Yuki, Vicky","g2fw-ebbs","published","public","approved","official","dataset","Community and Culture","digital,technology matching funds,technology,matching funds,it,information technology,inclusion,grants,community,funding","https://cos-data.seattle.gov/d/6d4q-w9dv","https://cos-data.seattle.gov/resource/6d4q-w9dv.json","2016-09-15T21:37:51.000","2020-03-06T15:42:51.000","2025-01-29T05:36:14.000","cos-data.seattle.gov","false","9204","881","344","18","communitytechnology@seattle.gov","Public Domain","City of Seattle","http://www.seattle.gov/tech",,,,,"Seattle Information Technology","Annually",,
"jddv-fz6y","Technology Access and Adoption Survey 2023","Responses from 4197 Seattle residents to a comprehensive survey about access to broadband internet, devices ownership, online activities, digital skill levels, concerns and barriers to use, and civic engagement preferences. See summary report, interactive dashboard, crosstabs, and data use instructions at http://seattle.gov/TechAccessStudy. The code-book of labels and instructions about applying weights should be used with this data.","Keyes, David","d6kv-ncuu","published","public","approved","official","dataset","Community and Culture","digital inclusion,broadband,civic engagement,digital equity,technology access,technology,seattle department of information technology,neighborhood,internet,accessibility","https://cos-data.seattle.gov/d/jddv-fz6y","https://cos-data.seattle.gov/resource/jddv-fz6y.json","2023-10-04T20:41:42.000","2023-10-04T21:07:46.000","2025-01-29T16:14:11.000","cos-data.seattle.gov","false","7110","148","4197","327","digitalequity@seattle.gov","Public Domain","Seattle Information Technology - Digital Equity Team","https://seattle.gov/TechAccessStudy",,,,,"Seattle Information Technology","One Time",,
"pbt3-ytbc","Integrated Library System (ILS) Data Dictionary","Lookup table of Horizon item and borrower codes. The source of this data are the code definition tables in Horizon, such as bstat, btype, collection, and itype.

This dataset is useful for understanding the codes used in some of Seattle Public Library's other open datasets. These codes (namely ""ItemType"" and ""ItemCollection"") are systematically used in the cataloging of items within Integrated Library System (ILS), Horizon (Sirsidynix).","David Christensen","dajh-u3xu","published","public","approved","official","dataset","Community and Culture","horizon,public library,ils,data dictionary","https://cos-data.seattle.gov/d/pbt3-ytbc","https://cos-data.seattle.gov/resource/pbt3-ytbc.json","2017-05-10T19:27:04.000","2025-06-06T12:50:12.000","2025-01-29T18:51:17.000","cos-data.seattle.gov","false","12931","694","638","8","david.christensen@spl.org","Public Domain","City of Seattle",,,,,,"Seattle Public Library","Monthly",,
"snbb-v8b9","2024 Paid Parking Occupancy","The City of Seattle has created an on-street paid parking occupancy data set and is providing access to this data set for public use for research and entrepreneurial purposes under the City’s Open Data Program. This data set contains all records for 2024.","Snyder, MaryCatherine","4pks-8wcm","published","public","approved","official","dataset","Transportation","sdot,pay stations,parking,curbspace","https://cos-data.seattle.gov/d/snbb-v8b9","https://cos-data.seattle.gov/resource/snbb-v8b9.json","2026-02-16T14:23:02.000","2026-02-28T21:00:35.000","2026-03-16T16:22:18.000","cos-data.seattle.gov","false","1265","2","223149598","12",,"Public Domain","Seattle Department of Transportation","http://www.seattle.gov/transportation/projects-and-programs/programs/parking-program/maps-and-data",,,,,"Seattle Department of Transportation","One Time",,
"43nw-pkdq","Customer Service Request Tracking Data","This data set is a summary of status updates for customer certain customer service requests. These data have been assembled for the purposes of feeding a pilot status update tracker.","Barham, Stephen","j4s5-bhue","published","public","approved","official","dataset","City Administration",,"https://cos-data.seattle.gov/d/43nw-pkdq","https://cos-data.seattle.gov/resource/43nw-pkdq.json","2025-04-02T22:21:32.000","2026-04-01T18:02:14.000","2026-04-01T18:00:51.000","cos-data.seattle.gov","false","7881","796","787665","14","stephen.barham@seattle.gov","Public Domain","City of Seattle",,,,,,"Office of Mayor","Daily",,
"4hd3-wm3h","7th Ave south of Blanchard St","The 7th Ave bicycle counter records the number of bikes that cross on the north sidewalk between Blanchard St and Lenora St. Inductive count the passing of bicycles regardless of travel direction.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","bike,7th ave,bike counts,traffic,seattle,bicycle,counts","https://cos-data.seattle.gov/d/4hd3-wm3h","https://cos-data.seattle.gov/resource/4hd3-wm3h.json","2025-12-29T21:37:49.000","2026-03-10T22:27:00.000","2026-03-10T22:26:59.000","cos-data.seattle.gov","false","2967","8","57576","2",,"Public Domain",,,,,,,"Seattle Department of Transportation","Monthly",,
"qhwj-ipk4","Current City Properties","List of properties currently owned by City of Seattle.","Bond, Alysoun","rtfu-hxaz","published","public","approved","official","dataset","City Administration","pmas,city property,cityprop,property,land ownership,properties","https://cos-data.seattle.gov/d/qhwj-ipk4","https://cos-data.seattle.gov/resource/qhwj-ipk4.json","2021-05-06T21:51:52.000","2026-04-01T14:03:21.000","2026-04-01T14:03:20.000","cos-data.seattle.gov","false","9543","5472","1337","16","alysoun.bond@seattle.gov","Public Domain","City of Seattle Finance and Administrative Services, Facility Operations - Budget and Data Management",,,,,,"Department of Finance and Administrative Services","Weekly",,
"rk6r-ehyv","Notice of Medallion Transfers","This data set includes all transfer dates and values of taxicab and for-hire vehicle medallions.","Consumer Protection Unit, FAS","a62b-aawc","published","public","approved","official","dataset","City Administration","tnc,taxi,for-hire,medallion","https://cos-data.seattle.gov/d/rk6r-ehyv","https://cos-data.seattle.gov/resource/rk6r-ehyv.json","2015-03-23T20:17:56.000","2026-03-18T19:09:51.000","2026-03-18T19:09:50.000","cos-data.seattle.gov","false","10189","857","2479","4",,"Public Domain","City of Seattle",,,,,,"Department of Finance and Administrative Services","Other",,
"mefu-7eau","26th Ave SW Greenway at SW Oregon St Bicycle Counter (Out of Service)","The counters consist of two small tube sensors stretching across the street, which are attached to a small metal counting box made by Eco-Counter. The tubes only count people riding bikes. They are very accurate and designed to be used on greenways.","Zuniga, Rafael","psms-jbhq","published","public","approved","official","dataset","Transportation","seattle,monthly data,pedestrian,sdot,bicycle,bike,counts","https://cos-data.seattle.gov/d/mefu-7eau","https://cos-data.seattle.gov/resource/mefu-7eau.json","2014-02-04T16:31:41.000","2021-11-12T23:34:50.000","2025-01-29T18:37:54.000","cos-data.seattle.gov","false","8012","795","67245","4",,"Public Domain","City of Seattle",,,,,,"Seattle Department of Transportation","Monthly",,
"cz6d-tu92","Technology Access and Adoption Survey 2018","Responses from 4315 Seattle residents to a comprehensive survey about access to broadband internet, devices ownership, online activities, digital skill levels, concerns and barriers to use, and civic engagement preferences. See summary report, interactive dashboard and data use instructions at http://seattle.gov/2018techsurvey. The code-book of labels and instructions about applying weights should be used with this data. Available in Excel workbook format here: http://seattle.gov/Documents/Departments/Tech/2018Codebook.xlsx","Keyes, David","d6kv-ncuu","published","public","approved","official","dataset","Community and Culture","digital equity,broadband,technology,internet,information and communications technology,ict,equity,digital inclusion","https://cos-data.seattle.gov/d/cz6d-tu92","https://cos-data.seattle.gov/resource/cz6d-tu92.json","2018-11-13T22:21:53.000","2018-11-15T22:53:27.000","2025-01-29T06:42:35.000","cos-data.seattle.gov","false","8857","468","4315","479","david.keyes@seattle.gov","Public Domain","Seattle Information Technology","http://seattle.gov/tech/digital-equity",,,,,"Seattle Information Technology","One Time",,
