Problem,Task,DatasetName,NumCompounds,Unit,Type,Metric,DatasetSplit,License,DatasetDescription,TaskDescription,Reference
Single_instance_prediction,ADME,hlm,6013,,,,,Not specified,The metabolic stability of compounds in Human and Rat Liver Microsomes is a crucial parameter in early-stage drug development. ,"Binary classification. Given a drug SMILES string, predict the metabolic stability of the compound in Human and Rat Liver Microsomes.",
Single_instance_prediction,ADME,clearance_hepatocyte_az,1213,uL.min-1.(10^6 cells)-1,Regression,Spearman,Scaffold,CC BY 4.0,Compounds are classified as either stable or unstable based on their half-life. ,"Regression. Given a drug SMILES string, predict the activity of clearance.","AstraZeneca. Experimental in vitro Dmpk and physicochemical data on a set of publicly disclosed compounds (2016), Di, Li, et al. ÒMechanistic insights from comparing intrinsic clearance values between human liver microsomes and hepatocytes to guide drug design.Ó European journal of medicinal chemistry 57 (2012): 441-448."
Single_instance_prediction,ADME,vdss_lombardo,1130,L/kg,Regression,Spearman,Scaffold,CC BY 4.0,"The volume of distribution at steady state (VDss) measures the degree of a drug's concentration in body tissue compared to concentration in blood. Higher VD indicates a higher distribution in the tissue and usually indicates the drug with high lipid solubility, low plasma protein binidng rate.","Regression. Given a drug SMILES string, predict the volume of distributon.","Lombardo, Franco, and Yankang Jing. ÒIn silico prediction of volume of distribution in humans. Extensive data set and the exploration of linear and nonlinear methods coupled with molecular interaction fields descriptors.Ó Journal of Chemical Information and Modeling 56.10 (2016): 2042-2052."
Single_instance_prediction,ADME,cyp2c19_veith,12665,,,,,CC BY 4.0,"The CYP P450 genes are essential in the breakdown (metabolism) of various molecules and chemicals within cells. A drug that can inhibit these enzymes would mean poor metabolism to this drug and other drugs, which could lead to drug-drug interactions and adverse effects. Specifically, the CYP2C19 gene provides instructions for making an enzyme called the endoplasmic reticulum, which is involved in protein processing and transport.","Binary Classification. Given a drug SMILES string, predict CYP2C19 inhibition.","Veith, Henrike et al. ÒComprehensive characterization of cytochrome P450 isozyme selectivity across chemical libraries.Ó Nature biotechnology vol. 27,11 (2009): 1050-5."
Single_instance_prediction,ADME,lipophilicity_astrazeneca,4200,,Regression,MAE,Scaffold,CC BY 4.0,"Lipophilicity measures the ability of a drug to dissolve in a lipid (e.g. fats, oils) environment. High lipophilicity often leads to high rate of metabolism, poor solubility, high turn-over, and low absorption. From MoleculeNet.","Regression. Given a drug SMILES string, predict the activity of lipophilicity.","AstraZeneca. Experimental in vitro Dmpk and physicochemical data on a set of publicly disclosed compounds (2016), Wu, Zhenqin, et al. ÒMoleculeNet: a benchmark for molecular machine learning.Ó Chemical science 9.2 (2018): 513-530."
Single_instance_prediction,ADME,bbb_martins,2030,%,Binary,AUROC,Scaffold,CC BY 4.0,"As a membrane separating circulating blood and brain extracellular fluid, the blood-brain barrier (BBB) is the protection layer that blocks most foreign drugs. Thus the ability of a drug to penetrate the barrier to deliver to the site of action forms a crucial challenge in development of drugs for central nervous system From MoleculeNet.","Binary classification. Given a drug SMILES string, predict the activity of BBB.","Martins, Ines Filipa, et al. ÒA Bayesian approach to in silico blood-brain barrier penetration modeling.Ó Journal of chemical information and modeling 52.6 (2012): 1686-1697., Wu, Zhenqin, et al. ÒMoleculeNet: a benchmark for molecular machine learning.Ó Chemical science 9.2 (2018): 513-530."
Single_instance_prediction,ADME,cyp3a4_substrate_carbonmangels,670,%,Binary,AUROC,Scaffold,CC BY 4.0,"CYP3A4 is an important enzyme in the body, mainly found in the liver and in the intestine. It oxidizes small foreign organic molecules (xenobiotics), such as toxins or drugs, so that they can be removed from the body. TDC used a dataset from [1], which merged information on substrates and nonsubstrates from six publications.","Binary Classification. Given a drug SMILES string, predict if it is a substrate to the enzyme.","Carbon_Mangels, Miriam, and Michael C. Hutter. ÒSelecting relevant descriptors for classification by bayesian estimates: a comparison with decision trees and support vector machines approaches for disparate data sets.Ó Molecular informatics 30.10 (2011): 885-895., Cheng, Feixiong, et al. ÒadmetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.Ó (2012): 3099-3105."
Single_instance_prediction,ADME,b3db_regression,942,,,,,CC0 1.0,"The Blood-Brain-Barrier Dataset (B3DB) is a curated resource of 7,807 small molecules classified as either BBB permeable (BBB+) or BBB non-permeable (BBB-), with 4,956 BBB+ and 2,851 BBB- molecules originally included. BBB permeability is measured by the logarithm of the brain-plasma concentration ratio:","Regression. Given a SMILES string, predict numerical logBB","Meng et al., A curated diverse molecular database of blood-brain barrier permeability with chemical descriptors, Scientific Data, vol. 8, Article 289, 2021."
Single_instance_prediction,ADME,hia_hou,578,%,Binary,AUROC,Scaffold,CC BY 4.0,"When a drug is orally administered, it needs to be absorbed from the human gastrointestinal system into the bloodstream of the human body. This ability of absorption is called human intestinal absorption (HIA) and it is crucial for a drug to be delivered to the target.","Binary classification. Given a drug SMILES string, predict the activity of HIA.",Hou T et al. ADME evaluation in drug discovery. 7. Prediction of oral absorption by correlation and classification. J Chem Inf Model. 2007;47(1):208-218.
Single_instance_prediction,ADME,cyp2d6_veith,13130,%,Binary,AUPRC,Scaffold,CC BY 4.0,"The CYP P450 genes are involved in the formation and breakdown (metabolism) of various molecules and chemicals within cells. Specifically, CYP2D6 is primarily expressed in the liver. It is also highly expressed in areas of the central nervous system, including the substantia nigra.","Binary Classification. Given a drug SMILES string, predict CYP2D6 inhibition.","Veith, Henrike et al. ÒComprehensive characterization of cytochrome P450 isozyme selectivity across chemical libraries.Ó Nature biotechnology vol. 27,11 (2009): 1050-5."
Single_instance_prediction,ADME,solubility_aqsoldb,9980,log mol/L,Regression,MAE,Scaffold,CC BY 4.0,"Aqeuous solubility measures a drug's ability to dissolve in water. Poor water solubility could lead to slow drug absorptions, inadequate bioavailablity and even induce toxicity. More than 40% of new chemical entities are not soluble.","Regression. Given a drug SMILES string, predict the activity of solubility.","Sorkun, M.C., Khetan, A. & Er, S. AqSolDB, a curated reference set of aqueous solubility and 2D descriptors for a diverse set of compounds. Sci Data 6, 143 (2019)."
Single_instance_prediction,ADME,pampa_ncats,2034,,,,,CC BY 4.0,"PAMPA (parallel artificial membrane permeability assay) is a commonly employed assay to evaluate drug permeability across the cellular membrane. PAMPA is a non-cell-based, low-cost and high-throughput alternative to cellular models. Although PAMPA does not model active and efflux transporters, it still provides permeability values that are useful for absorption prediction because the majority of drugs are absorbed by passive diffusion through the membrane.","Binary classification. Given a compound's SMILES string, predict whether it is has high permeability (1) or low-to-moderate permeability (0) in PAMPA assay.","Siramshetty, V.B., Shah, P., et al. ÒValidating ADME QSAR Models Using Marketed Drugs.Ó SLAS Discovery 2021 Dec;26(10):1326-1336. doi: 10.1177/24725552211017520."
Single_instance_prediction,ADME,cyp3a4_veith,12328,%,Binary,AUPRC,Scaffold,CC BY 4.0,"The CYP P450 genes are involved in the formation and breakdown (metabolism) of various molecules and chemicals within cells. Specifically, CYP3A4 is an important enzyme in the body, mainly found in the liver and in the intestine. It oxidizes small foreign organic molecules (xenobiotics), such as toxins or drugs, so that they can be removed from the body.","Binary Classification. Given a drug SMILES string, predict CYP3A4 inhibition.","Veith, Henrike et al. ÒComprehensive characterization of cytochrome P450 isozyme selectivity across chemical libraries.Ó Nature biotechnology vol. 27,11 (2009): 1050-5."
Single_instance_prediction,ADME,cyp2c9_substrate_carbonmangels,669,%,Binary,AUPRC,Scaffold,CC BY 4.0,"CYP P450 2C9 plays a major role in the oxidation of both xenobiotic and endogenous compounds. Substrates are drugs that are metabolized by the enzyme. TDC used a dataset from [1], which merged information on substrates and nonsubstrates from six publications.","Binary Classification. Given a drug SMILES string, predict if it is a substrate to the enzyme.","Carbon_Mangels, Miriam, and Michael C. Hutter. ÒSelecting relevant descriptors for classification by bayesian estimates: a comparison with decision trees and support vector machines approaches for disparate data sets.Ó Molecular informatics 30.10 (2011): 885-895., Cheng, Feixiong, et al. ÒadmetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.Ó (2012): 3099-3105."
Single_instance_prediction,ADME,half_life_obach,667,hr,Regression,Spearman,Scaffold,CC BY 4.0,Half life of a drug is the duration for the concentration of the drug in the body to be reduced by half. It measures the duration of actions of a drug. This dataset is from [1] and we obtain the deposited version under CHEMBL assay 1614674.,"Regression. Given a drug SMILES string, predict the half life duration.","Obach, R. Scott, Franco Lombardo, and Nigel J. Waters. ÒTrend analysis of a database of intravenous pharmacokinetic parameters in humans for 670 drug compounds.Ó Drug Metabolism and Disposition 36.7 (2008): 1385-1405."
Single_instance_prediction,ADME,b3db_classification,6167,,,,,CC0 1.0,"The Blood-Brain-Barrier Dataset (B3DB) is a curated resource of 7,807 small molecules classified as either BBB permeable (BBB+) or BBB non-permeable (BBB-), with 4,956 BBB+ and 2,851 BBB- molecules originally included. BBB permeability is measured by the logarithm of the brain-plasma concentration ratio:","Binary classification. Given a compound's SMILES string, predict binary permeability label.","Meng et al., A curated diverse molecular database of blood-brain barrier permeability with chemical descriptors, Scientific Data, vol. 8, Article 289, 2021."
Single_instance_prediction,ADME,rlm,5590,,,,,Not specified,The metabolic stability of compounds in Human and Rat Liver Microsomes is a crucial parameter in early-stage drug development. ,"Binary classification. Given a drug SMILES string, predict the metabolic stability of the compound in Human and Rat Liver Microsomes.",
Single_instance_prediction,ADME,ppbr_az,1614,%,Regression,MAE,Scaffold,CC BY 4.0,"The human plasma protein binding rate (PPBR) is expressed as the percentage of a drug bound to plasma proteins in the blood. This rate strongly affect a drug's efficiency of delivery. The less bound a drug is, the more efficiently it can traverse and diffuse to the site of actions. From a ChEMBL assay deposited by AstraZeneca.","Regression. Given a drug SMILES string, predict the rate of PPBR.",AstraZeneca. Experimental in vitro Dmpk and physicochemical data on a set of publicly disclosed compounds (2016)
Single_instance_prediction,ADME,pgp_broccatelli,1218,%,Binary,AUROC,Scaffold,CC BY 4.0,"P-glycoprotein (Pgp) is an ABC transporter protein involved in intestinal absorption, drug metabolism, and brain penetration, and its inhibition can seriously alter a drug's bioavailability and safety. In addition, inhibitors of Pgp can be used to overcome multidrug resistance.","Binary classification. Given a drug SMILES string, predict the activity of Pgp inhibition.","Broccatelli et al., A Novel Approach for Predicting P-Glycoprotein (ABCB1) Inhibition Using Molecular Interaction Fields. Journal of Medicinal Chemistry, 2011 54 (6), 1740-1751"
Single_instance_prediction,ADME,caco2_wang,910,cm/s,Regression,MAE,Scaffold,CC BY 4.0,"The human colon epithelial cancer cell line, Caco-2, is used as an in vitro model to simulate the human intestinal tissue. The experimental result on the rate of drug passing through the Caco-2 cells can approximate the rate at which the drug permeates through the human intestinal tissue.","Regression. Given a drug SMILES string, predict the Caco-2 cell effective permeability.","Wang, NN et al, ADME Properties Evaluation in Drug Discovery: Prediction of Caco-2 Cell Permeability Using a Combination of NSGA-II and Boosting, Journal of Chemical Information and Modeling 2016 56 (4), 763-773"
Single_instance_prediction,ADME,bioavailability_ma,640,%,Binary,AUROC,Scaffold,CC BY 4.0,Oral bioavailability is defined as Òthe rate and extent to which the active ingredient or active moiety is absorbed from a drug product and becomes available at the site of actionÓ.,"Binary classification. Given a drug SMILES string, predict the activity of bioavailability.","Ma, Chang-Ying, et al. ÒPrediction models of human plasma protein binding rate and oral bioavailability derived by using GAÐCGÐSVM method.Ó Journal of pharmaceutical and biomedical analysis 47.4-5 (2008): 677-682."
Single_instance_prediction,ADME,hydrationfreeenergy_freesolv,642,,,,,CC BY-NC-SA 4.0,"The Free Solvation Database, FreeSolv(SAMPL), provides experimental and calculated hydration free energy of small molecules in water. The calculated values are derived from alchemical free energy calculations using molecular dynamics simulations. From MoleculeNet.","Regression. Given a drug SMILES string, predict the activity of hydration free energy.","Mobley, David L., and J. Peter Guthrie. ÒFreeSolv: a database of experimental and calculated hydration free energies, with input files.Ó Journal of computer-aided molecular design 28.7 (2014): 711-720., Wu, Zhenqin, et al. ÒMoleculeNet: a benchmark for molecular machine learning.Ó Chemical science 9.2 (2018): 513-530."
Single_instance_prediction,ADME,cyp1a2_veith,12579,,,,,CC BY 4.0,"The CYP P450 genes are involved in the formation and breakdown (metabolism) of various molecules and chemicals within cells. Specifically, CYP1A2 localizes to the endoplasmic reticulum and its expression is induced by some polycyclic aromatic hydrocarbons (PAHs), some of which are found in cigarette smoke. It is able to metabolize some PAHs to carcinogenic intermediates. Other xenobiotic substrates for this enzyme include caffeine, aflatoxin B1, and acetaminophen.","Binary Classification. Given a drug SMILES string, predict CYP1A2 inhibition.","Veith, Henrike et al. ÒComprehensive characterization of cytochrome P450 isozyme selectivity across chemical libraries.Ó Nature biotechnology vol. 27,11 (2009): 1050-5."
Single_instance_prediction,ADME,cyp2d6_substrate_carbonmangels,667,%,Binary,AUPRC,Scaffold,CC BY 4.0,"CYP2D6 is primarily expressed in the liver. It is also highly expressed in areas of the central nervous system, including the substantia nigra. TDC used a dataset from [1], which merged information on substrates and nonsubstrates from six publications.","Binary Classification. Given a drug SMILES string, predict if it is a substrate to the enzyme.","Carbon_Mangels, Miriam, and Michael C. Hutter. ÒSelecting relevant descriptors for classification by bayesian estimates: a comparison with decision trees and support vector machines approaches for disparate data sets.Ó Molecular informatics 30.10 (2011): 885-895., Cheng, Feixiong, et al. ÒadmetSAR: a comprehensive source and free tool for assessment of chemical ADMET properties.Ó (2012): 3099-3105."
