"Resource name",Url,Platform,"ELIXIR Node","Scientific domain","ELIXIR badge",Description,"Principal investigator","bio.tools link","FAIRsharing link"
2Dprots,https://2dprots.ncbr.muni.cz/,,"ELIXIR Czech Republic","Molecular and cellular structures",,"A database including visualizations of protein secondary structure via 2D diagrams. The 2D diagrams are based on whole protein family and they take into account 2D structure of the protein family members.","Karel Berka",https://bio.tools/2DProt,
"3D interacting domains (3Did)",https://3did.irbbarcelona.org/,,"ELIXIR Spain","Proteins and proteomes",,"A collection of high-resolution three-dimensional structural templates for domain-domain interactions. It contains templates for interactions between two globular domains as well as novel domain-peptide interactions, derived using a recently published method from our lab.","Patrick Aloy",,
"3DBIONOTES-WS and COVID19 Structural Hub",http://3dbionotes-ws.cnb.csic.es,,"ELIXIR Spain","Molecular and cellular structures, Proteins and proteomes","Recommended Interoperability Resources","A reusable platform-independent API call component for protein metadata alignment, annotation, and integration across major protein data resources.","Michael Baudis",https://bio.tools/3dbionotes,
"AAI - REMS",https://www.elixir-finland.org/en/aai-rems-2/,,"ELIXIR Finland",,,"CSC develops and hosts an open source tool REMS to assist a DAC to manage Data Access Applications and access rights to sensitive datasets. REMS is a key component in ELIXIR AAI.","Tommi Jalkanen / Mikael Linden",,
ACT,https://www.michalopoulos.net/act/,,"ELIXIR Greece",,,"Arabidopsis Co-expression Tool (ACT): web server tools for microarray-based gene expression analysis.","Ioannis Michalopoulos",https://bio.tools/act,
ActivityFinder,https://proteins.plus/2ozr#activityfinder,,"ELIXIR Germany","Chemical biology",,"ActivityFinder establishes a connection between crystallographic data stored in the PDB database and the activity values stored in the ChEMBL database.","Matthias Rarey",,
"Agile Protein Interactomes DataServer Interactomes (APID Interactomes)",http://apid.dep.usal.es,,"ELIXIR Spain","Proteins and proteomes",,"APID Interactomes provides a comprehensive collection of protein interactomes for more than 500 organisms based on the integration of known experimentally validated protein-protein physical interactions (PPIs). ","Javier De Las Rivas",https://bio.tools/apid,https://fairsharing.org/search?q=apid
"AgroLD (Agronomic Linked Data)",http://www.agrold.org,,"ELIXIR France","Evolution and phylogeny",,"The AgroLD (Agronomy Linked Data) Knowledge Graph is a specialized RDF database that integrates genomic and genetic information in plant science.","Pierre Larmande",,
Alfred,https://www.gear-genomics.com/alfred/,,"ELIXIR Germany",,,"Alfred is a comprehensive NGS alignment quality control method that supports commonly used QC metrics, RNA and DNA feature counting and flexible feature annotation.","Jan Korbel",https://bio.tools/alfred,
"AlphaFold DB",https://alphafold.ebi.ac.uk/,,EMBL-EBI,"Proteins and proteomes",,"Google DeepMind and EMBL’s European Bioinformatics Institute (EMBL-EBI) have partnered to create AlphaFold DB to make these predictions freely available to the scientific community. The latest database release contains over 200 million entries, providing broad coverage of UniProt (the standard repository of protein sequences and annotations). ",,,https://fairsharing.org/FAIRsharing.246086
AmtDB,https://amtdb.org/,,"ELIXIR Czech Republic",,,"This is the place where you can find an updated list of the published mitochondrial sequences coming from the ancient DNA samples (aDNA). The main interest of our database lies in the anatomically modern Homo sapiens samples, ranging from the late Paleolithic to roughly Iron Age times, focusing on an Euroasian geographical area. We provide both the mtDNA sequences (in FASTA format), and the metadata for the samples (IDs, dates, geolocation, site, culture, mtDNA haplogroup etc., available to download in a tab-delimited text file).","Jan Pačes",https://bio.tools/AmtDB,
"AMYL-PRED 2",http://aias.biol.uoa.gr/AMYLPRED2/,,"ELIXIR Greece","Genes and genomes",,"A Consensus Method for Amyloid Propensity Prediction","V.A. Iconomidou",https://bio.tools/amylpred2,
ANASTASIA,http://motherbox.chemeng.ntua.gr/anastasia_dev/,,"ELIXIR Greece","Genes and genomes",,"ANASTASIA (Automated Nucleotide Animoacid Sequences Translational plAtform for Synthetic Interpretation and Analysis) is a metagenomics analysis platform and repository.



http://motherbox.chemeng.ntua.gr/anastasia_dev/","Aristotelis Chatzioannou, Eleftherios Pilalis, Theodoros Koutsandreas",https://bio.tools/anastasia,
ANISEED,https://www.aniseed.cnrs.fr/,,"ELIXIR France","Genes and genomes",,"ANISEED is the main model organism database for the worldwide community of scientists working on a class of marine invertebrates, the tunicates (sister-group of vertebrates). It integrates for each species: a main knowledge base with extended information on gene function, gene expression, phylogeny and embryonic anatomy at single cell resolution; a genomic browser and a Genomicus gene synteny browser.","Patrick Lemaire, Christelle Dantec",https://bio.tools/aniseed,https://fairsharing.org/FAIRsharing.xp1x9c
"Annotating PRincpial splice ISoforms (APPRIS)",http://appris.bioinfo.cnio.es,,"ELIXIR Spain","Genes and genomes",,"Annotates variants with biological data such as protein structural information, functionally important residues, conservation of functional domains and evidence of cross-species conservation.","Michael Tress",https://bio.tools/appris,
"Annotations of Pathological Mutations on Proteins (PMut)",https://mmb.irbbarcelona.org/PMut,,"ELIXIR Spain","Proteins and proteomes",,"Web portal for the annotation of pathological protein variants.","Josep Ll Gelpí",https://bio.tools/pmut,https://fairsharing.org/FAIRsharing.tv6fxt
APICURON,https://apicuron.org,,"ELIXIR Italy",Literature,,"APICURON is a database to credit and acknowledge the work of biocurators. It collects and aggregates biocuration events from third party resources generating achievements and leaderboards.","Silvio Tosatto",https://bio.tools/apicuron,https://fairsharing.org/FAIRsharing.f8e156
Argot,http://www.medcomp.medicina.unipd.it/Argot2-5/,,"ELIXIR Italy","Genes and genomes, Proteins and proteomes",,"Annotation Retrieval of Gene Ontology Terms using semantic similarity in Gene Ontology.","Stefano Toppo",https://bio.tools/argot2,
ARIA,https://ariaweb.pasteur.fr/login?next=/,,"ELIXIR France","Molecular and cellular structures",,"ARIA (Ambiguous Restraints for Iterative Assignment) is a software for automated NOE assignment and NMR structure calculation. It speeds up and automatizes the assignment process through the use of an iterative structure calculation scheme. ","Benjamin Bardiaux, Michael Nilges",https://bio.tools/aria,
ARIES,https://aries.iss.it/,,"ELIXIR Italy","Evolution and phylogeny",,"A customised Galaxy instance for the genomic characterisation of microoganisms in particular and data intensive biomedical research in general.","Stefano Morabito",https://bio.tools/aries,
Aruna,https://www.uni-giessen.de/de/fbz/fb08/Inst/bioinformatik/software/aruna,,"ELIXIR Germany",,,"Aruna Object Storage is a data lake storage system that manages scientific data and a rich set of associated metadata according to FAIR principles.","Alexander Goesmann",,
