Family,Product,Patch,PRB,PRB type,Description
Yokohama,Advanced Work Assignment,Yokohama Patch 8 Hot Fix 4,PRB1982818,Other Fix,"Yokohama Patch 8 Hot Fix 4
After removing a service channel, the current universal capacity of the agent isn't decreased
After removing a service channel from the 'Available' presence state, the universal capacity for the existing documents related to that channel shouldn't be considered.

1. Create a service channel ('Chat-test').
2. Add it to the 'Available' presence state in awa_presence_state.
3. Create related queues and assignment eligibility pools.
4. Create a universal capacity record for the agent ('Beth Anglin').
5. Make the agent 'Available'.
6. Create documents for that and let those be assigned to the agent.
7. Observe that the current universal capacity of the agent is increased.
8. Remove the service channel from the 'Available"" presence state in awa_presence_state.Observe that the current universal capacity of the agent stays the same. In Xanadu and Zurich, the current universal capacity gets decreased."
Yokohama,Next Experience Unified Navigation,Yokohama Patch 11,PRB1975305,Other Fix,"Yokohama Patch 11
AI Engagement Experience (AIEX) upgrade issue
When a user upgrade Yokohama, they won't get any of the new AIEL changes. This occurs when upgrading from version 27.0.29, which has UXR components, to version 27.0.28-aiex.13."
Yokohama,Glide Server APIs,Yokohama Patch 11,PRB1974876,Other Fix,"Yokohama Patch 11
Security bug
"
Yokohama,Customer Operations for Customer Service Management,Yokohama Patch 11,PRB1974831,Other Fix,"Yokohama Patch 11
Security bug
"
Xanadu,Server-side scripts,Xanadu Patch 11,PRB1974827,Other Fix,"Xanadu Patch 11
Security bug
"
Yokohama,Server-side scripts,Yokohama Patch 11,PRB1974683,Other Fix,"Yokohama Patch 11
Rules for static analysis feature are locked behind no_db_override"
Yokohama,Server-side scripts,Yokohama Patch 11,PRB1974676,Other Fix,"Yokohama Patch 11
Guest sandbox logging can potentially overwhelm system logs"
Yokohama,OneExtend,Yokohama Patch 11,PRB1974084,Other Fix,"Yokohama Patch 11
Error during zboot due to a 'where' clause on sys_db_view_table"
Yokohama,Virtual Agent Web Client,Yokohama Patch 11,PRB1974007,Other Fix,"Yokohama Patch 11
Synthesized responses disappear on Now Assist Virtual Agent (NAVA), Now Assist panel (NAP), Dynamic Window (DW)
Responses disappear after they are produced."
Yokohama,OneExtend,Yokohama Patch 11,PRB1973586,Other Fix,"Yokohama Patch 11
A newly changed LLM provider setting is reset after upgrading
After upgrading an instance to Zurich but not upgrading Generative AI Controller and Now Assist Admin apps to the compatible latest available versions, the LLM provider setting reverts to its pre-upgrade value within two hours or less after being changed through the 'Edit Model Provider' option in Now Assist Admin. This behavior may cause configuration instability after the upgrade."
